,DeID,Transfer Status,Weighted.Course.Average,Primary Instructor (3rd Week),Enrollment Flag (3rd Week),Enrollment Flag (End of Term),Grade (End of Term)
0,05TMV7T8,False,0.9698,"Gillespie, Gary N                  ",Y,Y,A+ 
3,0NTV796A,False,0.905,"Gillespie, Gary N                  ",Y,Y,A  
5,0W62IGWW,False,0.8519,"Gillespie, Gary N                  ",Y,Y,A- 
6,0XE9LD9K,False,0.7247,"Gillespie, Gary N                  ",Y,Y,B- 
8,1H6IN61T,False,0.8234,"Gillespie, Gary N                  ",Y,Y,B+ 
9,1JMPU89A,False,0.6554,"Gillespie, Gary N                  ",Y,Y,C  
10,25JF6B0Z,False,0.8731,"Gillespie, Gary N                  ",Y,Y,A  
11,2CDZON7O,False,0.8959999999999999,"Gillespie, Gary N                  ",Y,Y,A  
12,2HUBSS5B,False,0.9258,"Gillespie, Gary N                  ",Y,Y,A  
13,2KZCGJR4,False,0.7967,"Gillespie, Gary N                  ",Y,Y,B+ 
14,2RY0Q89X,False,0.9684,"Gillespie, Gary N                  ",Y,Y,A+ 
16,348SI940,False,0.9092,"Gillespie, Gary N                  ",Y,Y,A  
17,37J2SSVO,False,0.5953,"Gillespie, Gary N                  ",Y,Y,D  
19,3CGOB2B6,False,0.8484,"Gillespie, Gary N                  ",Y,Y,B+ 
23,41UJMB2I,False,0.9068,"Gillespie, Gary N                  ",Y,Y,A  
24,45FB3QKP,False,0.6975,"Gillespie, Gary N                  ",Y,Y,C+ 
25,4CPL38QS,False,0.7136,"Gillespie, Gary N                  ",Y,Y,C+ 
26,4O8K90O1,False,0.7933,"Gillespie, Gary N                  ",Y,Y,B  
28,52CA6S32,False,0.9181,"Gillespie, Gary N                  ",Y,Y,A  
29,54ARLTY1,False,0.907,"Gillespie, Gary N                  ",Y,Y,A  
30,54W77V16,False,0.9078,"Gillespie, Gary N                  ",Y,Y,A  
31,55QIRZHX,False,0.8187,"Gillespie, Gary N                  ",Y,Y,B  
33,5DYXUX9U,False,0.978,"Gillespie, Gary N                  ",Y,Y,A+ 
35,5IAUHG1Q,False,0.8281,"Gillespie, Gary N                  ",Y,Y,B+ 
36,5NKAH4JP,False,0.9489,"Gillespie, Gary N                  ",Y,Y,A  
37,670GYX4X,False,0.8934,"Gillespie, Gary N                  ",Y,Y,A  
38,68JXC9HT,False,0.8738,"Gillespie, Gary N                  ",Y,Y,Grade Pending
39,6AK1X60N,False,0.8009999999999999,"Gillespie, Gary N                  ",Y,Y,B  
40,6HMFTTJE,False,0.6764,"Gillespie, Gary N                  ",Y,Y,C+ 
42,6QW7KUDB,False,0.7692,"Gillespie, Gary N                  ",Y,Y,B  
43,6U9SMNMO,False,0.7429,"Gillespie, Gary N                  ",Y,Y,B  
44,6UUUQJRQ,False,0.8552,"Gillespie, Gary N                  ",Y,Y,A- 
