,DeID,Transfer Status,Final.Exam,Primary Instructor (3rd Week),Enrollment Flag (3rd Week),Enrollment Flag (End of Term),Grade (End of Term)
1,0CJNKJ3G,True,59.619047599999995,"Gillespie, Gary N                  ",Y,Y,U  
2,0IPF8NR0,True,81.5238095,"Gillespie, Gary N                  ",Y,Y,B+ 
4,0UFJO4V8,True,72.7619048,"Gillespie, Gary N                  ",Y,Y,B  
7,1516FKR6,True,86.0,"Gillespie, Gary N                  ",Y,Y,A  
15,2YN4DT5W,True,81.5238095,"Gillespie, Gary N                  ",Y,Y,A- 
18,3B1I7KZ8,True,59.047619,"Gillespie, Gary N                  ",Y,Y,C+ 
20,3QJJOU1J,True,70.8571429,"Gillespie, Gary N                  ",Y,Y,C  
21,3XGFUSMI,True,68.1904762,"Gillespie, Gary N                  ",Y,Y,B- 
22,3Z8EXFXJ,True,83.42857140000001,"Gillespie, Gary N                  ",Y,Y,A  
27,50RN1MFD,True,83.6190476,"Gillespie, Gary N                  ",Y,Y,B- 
32,57T5TAHN,True,87.047619,"Gillespie, Gary N                  ",Y,Y,A  
34,5EPOTQMD,True,81.7142857,"Gillespie, Gary N                  ",Y,Y,B  
41,6Q3XGBID,True,73.7142857,"Gillespie, Gary N                  ",Y,Y,A- 
45,6V68NG3I,True,80.7619048,"Gillespie, Gary N                  ",Y,Y,B- 
52,7SS9SWZ2,True,68.7619048,"Gillespie, Gary N                  ",Y,Y,B  
56,8QFSI6X7,True,52.8571429,"Gillespie, Gary N                  ",Y,Y,D  
61,9IV34PWW,True,83.5238095,"Gillespie, Gary N                  ",Y,Y,B+ 
64,9Q1TZHHX,True,79.2380952,"Gillespie, Gary N                  ",Y,Y,A  
75,B2CHHU5N,True,73.14285709999999,"Gillespie, Gary N                  ",Y,Y,A- 
80,C5U4S8HT,True,41.714285700000005,"Gillespie, Gary N                  ",Y,Y,F  
82,CJW5LN83,True,21.047619,"Gillespie, Gary N                  ",Y,Y,F  
87,D0NCXALW,True,90.6666667,"Gillespie, Gary N                  ",Y,Y,A+ 
92,DOBOXDVS,True,63.6190476,"Gillespie, Gary N                  ",Y,Y,C  
94,DVE7VM71,True,0.0,"Gillespie, Gary N                  ",Y,Y,F  
96,E3N3U3C4,True,84.5714286,"Gillespie, Gary N                  ",Y,Y,A- 
98,EAXYK9WX,True,56.571428600000004,"Gillespie, Gary N                  ",Y,Y,D  
106,FMW0T2M1,True,66.5714286,"Gillespie, Gary N                  ",Y,Y,C  
109,G4QQYEHW,True,57.5238095,"Gillespie, Gary N                  ",Y,Y,B- 
110,G7TZVX0C,True,65.1428571,"Gillespie, Gary N                  ",Y,Y,C+ 
111,GDEKR6RS,True,83.6190476,"Gillespie, Gary N                  ",Y,Y,A  
116,HRYK35NC,True,48.190476200000006,"Gillespie, Gary N                  ",Y,Y,D  
118,HWQW8PXK,True,63.8095238,"Gillespie, Gary N                  ",Y,Y,B  
119,HWRGI29V,True,79.42857140000001,"Gillespie, Gary N                  ",Y,Y,A  
120,I4P6RFWE,True,80.57142859999999,"Gillespie, Gary N                  ",Y,Y,S  
121,I6PHCT60,True,60.3809524,"Gillespie, Gary N                  ",Y,Y,C+ 
123,IDDOJB3Y,True,82.0,"Gillespie, Gary N                  ",Y,Y,A  
124,IDROCPBC,True,88.1904762,"Gillespie, Gary N                  ",Y,Y,A  
125,IS1XQ2OH,True,0.0,"Gillespie, Gary N                  ",Y,Y,F  
126,IU5GUSA7,True,86.66666670000001,"Gillespie, Gary N                  ",Y,Y,A  
130,JJMGNAUW,True,57.904761900000004,"Gillespie, Gary N                  ",Y,Y,D  
132,K0VFTOOM,True,85.7142857,"Gillespie, Gary N                  ",Y,Y,A  
137,KVU5NOUB,True,49.714285700000005,"Gillespie, Gary N                  ",Y,Y,D  
140,LDZ33RRK,True,42.2857143,"Gillespie, Gary N                  ",Y,Y,D  
142,LT5F9FWJ,True,63.2380952,"Gillespie, Gary N                  ",Y,Y,B- 
158,OA7CCEI8,True,0.0,"Gillespie, Gary N                  ",Y,Y,F  
161,OCEKX98F,True,90.0952381,"Gillespie, Gary N                  ",Y,Y,A  
162,OHO0V0EM,True,57.904761900000004,"Gillespie, Gary N                  ",Y,Y,B- 
165,P7WWT85C,True,85.90476190000001,"Gillespie, Gary N                  ",Y,Y,A  
166,PCMK7ZJU,True,82.09523809999999,"Gillespie, Gary N                  ",Y,Y,A  
168,Q20DI5Q0,True,84.7619048,"Gillespie, Gary N                  ",Y,Y,A  
169,QUON1228,True,61.1428571,"Gillespie, Gary N                  ",Y,Y,D  
172,QXHP2ZYQ,True,79.61904759999999,"Gillespie, Gary N                  ",Y,Y,A  
173,QZ995NE8,True,73.33333329999999,"Gillespie, Gary N                  ",Y,Y,B  
185,SKX5LQ20,True,84.38095240000001,"Gillespie, Gary N                  ",Y,Y,A  
186,T0EWCQT7,True,64.3809524,"Gillespie, Gary N                  ",Y,Y,B- 
187,T1ADLMJT,True,73.7142857,"Gillespie, Gary N                  ",Y,Y,B  
202,W4B2TSXM,True,74.952381,"Gillespie, Gary N                  ",Y,Y,B- 
206,WK1QC0F7,True,70.66666670000001,"Gillespie, Gary N                  ",Y,Y,B  
208,WWLQ9G21,True,75.8095238,"Gillespie, Gary N                  ",Y,Y,C+ 
209,X29GZII3,True,37.714285700000005,"Gillespie, Gary N                  ",Y,Y,F  
217,XY8QOSP0,True,73.7142857,"Gillespie, Gary N                  ",Y,Y,B  
222,YPIW6V65,True,0.0,"Gillespie, Gary N                  ",Y,Y,F  
