,DeID,Transfer Status,Weighted.Course.Average,Primary Instructor (3rd Week),Enrollment Flag (3rd Week),Enrollment Flag (End of Term),Grade (End of Term)
1,0CJNKJ3G,True,0.615,"Gillespie, Gary N                  ",Y,Y,U  
2,0IPF8NR0,True,0.7844,"Gillespie, Gary N                  ",Y,Y,B+ 
4,0UFJO4V8,True,0.7622,"Gillespie, Gary N                  ",Y,Y,B  
7,1516FKR6,True,0.8706,"Gillespie, Gary N                  ",Y,Y,A  
15,2YN4DT5W,True,0.83,"Gillespie, Gary N                  ",Y,Y,A- 
18,3B1I7KZ8,True,0.708,"Gillespie, Gary N                  ",Y,Y,C+ 
20,3QJJOU1J,True,0.6397,"Gillespie, Gary N                  ",Y,Y,C  
21,3XGFUSMI,True,0.7304,"Gillespie, Gary N                  ",Y,Y,B- 
22,3Z8EXFXJ,True,0.8662,"Gillespie, Gary N                  ",Y,Y,A  
27,50RN1MFD,True,0.7099,"Gillespie, Gary N                  ",Y,Y,B- 
32,57T5TAHN,True,0.9095,"Gillespie, Gary N                  ",Y,Y,A  
34,5EPOTQMD,True,0.7449,"Gillespie, Gary N                  ",Y,Y,B  
41,6Q3XGBID,True,0.8540000000000001,"Gillespie, Gary N                  ",Y,Y,A- 
45,6V68NG3I,True,0.7117,"Gillespie, Gary N                  ",Y,Y,B- 
52,7SS9SWZ2,True,0.7776,"Gillespie, Gary N                  ",Y,Y,B  
56,8QFSI6X7,True,0.6286,"Gillespie, Gary N                  ",Y,Y,D  
61,9IV34PWW,True,0.7977,"Gillespie, Gary N                  ",Y,Y,B+ 
64,9Q1TZHHX,True,0.868,"Gillespie, Gary N                  ",Y,Y,A  
75,B2CHHU5N,True,0.8535,"Gillespie, Gary N                  ",Y,Y,A- 
80,C5U4S8HT,True,0.5263,"Gillespie, Gary N                  ",Y,Y,F  
82,CJW5LN83,True,0.2093,"Gillespie, Gary N                  ",Y,Y,F  
87,D0NCXALW,True,0.9891,"Gillespie, Gary N                  ",Y,Y,A+ 
92,DOBOXDVS,True,0.6639,"Gillespie, Gary N                  ",Y,Y,C  
94,DVE7VM71,True,0.3651,"Gillespie, Gary N                  ",Y,Y,F  
96,E3N3U3C4,True,0.8322,"Gillespie, Gary N                  ",Y,Y,A- 
98,EAXYK9WX,True,0.6796,"Gillespie, Gary N                  ",Y,Y,D  
106,FMW0T2M1,True,0.6553,"Gillespie, Gary N                  ",Y,Y,C  
109,G4QQYEHW,True,0.7466,"Gillespie, Gary N                  ",Y,Y,B- 
110,G7TZVX0C,True,0.7288,"Gillespie, Gary N                  ",Y,Y,C+ 
111,GDEKR6RS,True,0.9096,"Gillespie, Gary N                  ",Y,Y,A  
116,HRYK35NC,True,0.4954,"Gillespie, Gary N                  ",Y,Y,D  
118,HWQW8PXK,True,0.7511,"Gillespie, Gary N                  ",Y,Y,B  
119,HWRGI29V,True,0.9184,"Gillespie, Gary N                  ",Y,Y,A  
120,I4P6RFWE,True,0.7394,"Gillespie, Gary N                  ",Y,Y,S  
121,I6PHCT60,True,0.6915,"Gillespie, Gary N                  ",Y,Y,C+ 
123,IDDOJB3Y,True,0.8897,"Gillespie, Gary N                  ",Y,Y,A  
124,IDROCPBC,True,0.8979,"Gillespie, Gary N                  ",Y,Y,A  
125,IS1XQ2OH,True,0.2043,"Gillespie, Gary N                  ",Y,Y,F  
126,IU5GUSA7,True,0.8793,"Gillespie, Gary N                  ",Y,Y,A  
130,JJMGNAUW,True,0.6698,"Gillespie, Gary N                  ",Y,Y,D  
132,K0VFTOOM,True,0.8985,"Gillespie, Gary N                  ",Y,Y,A  
137,KVU5NOUB,True,0.6391,"Gillespie, Gary N                  ",Y,Y,D  
140,LDZ33RRK,True,0.5951,"Gillespie, Gary N                  ",Y,Y,D  
142,LT5F9FWJ,True,0.7328,"Gillespie, Gary N                  ",Y,Y,B- 
158,OA7CCEI8,True,0.1298,"Gillespie, Gary N                  ",Y,Y,F  
161,OCEKX98F,True,0.9435,"Gillespie, Gary N                  ",Y,Y,A  
162,OHO0V0EM,True,0.7379,"Gillespie, Gary N                  ",Y,Y,B- 
165,P7WWT85C,True,0.9406,"Gillespie, Gary N                  ",Y,Y,A  
166,PCMK7ZJU,True,0.9166,"Gillespie, Gary N                  ",Y,Y,A  
168,Q20DI5Q0,True,0.9228,"Gillespie, Gary N                  ",Y,Y,A  
169,QUON1228,True,0.7901,"Gillespie, Gary N                  ",Y,Y,D  
172,QXHP2ZYQ,True,0.9326,"Gillespie, Gary N                  ",Y,Y,A  
173,QZ995NE8,True,0.8166,"Gillespie, Gary N                  ",Y,Y,B  
185,SKX5LQ20,True,0.9406,"Gillespie, Gary N                  ",Y,Y,A  
186,T0EWCQT7,True,0.7484,"Gillespie, Gary N                  ",Y,Y,B- 
187,T1ADLMJT,True,0.7793,"Gillespie, Gary N                  ",Y,Y,B  
202,W4B2TSXM,True,0.7043,"Gillespie, Gary N                  ",Y,Y,B- 
206,WK1QC0F7,True,0.7868,"Gillespie, Gary N                  ",Y,Y,B  
208,WWLQ9G21,True,0.6803,"Gillespie, Gary N                  ",Y,Y,C+ 
209,X29GZII3,True,0.4211,"Gillespie, Gary N                  ",Y,Y,F  
217,XY8QOSP0,True,0.7522,"Gillespie, Gary N                  ",Y,Y,B  
222,YPIW6V65,True,0.1856,"Gillespie, Gary N                  ",Y,Y,F  
