,DeID,Transfer Status,Final.exam.percentage..out.of.100.or.between.0.and.1.,Primary Instructor (3rd Week),Enrollment Flag (3rd Week),Enrollment Flag (End of Term),Grade (End of Term)
0,01USSUI3,False,85.0,"Lerner, Sorin                      ",Y,Y,A  
1,067XGZ0E,False,98.5,"Alvarado, Christine J.             ",Y,Y,A  
2,08Q3J2IX,False,90.58,"Alvarado, Christine J.             ",Y,Y,A  
3,09OZWKK6,False,74.33,"Alvarado, Christine J.             ",Y,Y,B+ 
4,0AQ81ICW,False,84.08,"Lerner, Sorin                      ",Y,Y,P  
5,0B5U51EM,False,67.25,"Alvarado, Christine J.             ",Y,Y,B  
6,0CSSQ80E,False,62.580000000000005,"Lerner, Sorin                      ",Y,Y,F  
7,0DI1ET58,False,88.0,"Lerner, Sorin                      ",Y,Y,A- 
8,0EV6RTFG,False,70.33,"Lerner, Sorin                      ",Y,Y,B  
9,0FP83YDC,False,73.25,"Lerner, Sorin                      ",Y,Y,B+ 
10,0J9V0GSD,False,89.33,"Alvarado, Christine J.             ",Y,Y,A  
11,0JFGV9J3,False,72.0,"Lerner, Sorin                      ",Y,Y,B  
12,0LSZZHS7,False,79.92,"Lerner, Sorin                      ",Y,Y,B  
13,0O15384D,False,88.5,"Lerner, Sorin                      ",Y,Y,A  
14,0RJR3UB2,False,85.33,"Alvarado, Christine J.             ",Y,Y,P  
15,0X91IN7M,False,88.08,"Alvarado, Christine J.             ",Y,Y,A  
16,0YNOBIVB,False,85.0,"Alvarado, Christine J.             ",Y,Y,A  
17,0YNUACNX,False,57.42,"Lerner, Sorin                      ",Y,Y,P  
19,112Y19QQ,False,96.67,"Alvarado, Christine J.             ",Y,Y,A  
20,12QC2AZI,False,84.5,"Alvarado, Christine J.             ",Y,Y,A- 
21,1AVMXYPB,False,0.0,"Lerner, Sorin                      ",Y,Y,NP 
22,1DSTM3NG,False,91.0,"Alvarado, Christine J.             ",Y,Y,A  
24,1GIFQR6E,False,69.92,"Lerner, Sorin                      ",Y,Y,B+ 
25,1KUMC6EK,False,92.5,"Alvarado, Christine J.             ",Y,Y,A  
26,1M23DVS0,False,56.92,"Alvarado, Christine J.             ",Y,Y,B- 
27,1MLB8DCO,False,35.75,"Alvarado, Christine J.             ",Y,Y,F  
28,1NP4ECVC,False,84.75,"Alvarado, Christine J.             ",Y,Y,A  
29,1NTALV04,False,92.92,"Lerner, Sorin                      ",Y,Y,A  
30,1RHWG5OW,False,77.83,"Lerner, Sorin                      ",Y,Y,A- 
31,1VKDQJSO,False,93.08,"Lerner, Sorin                      ",Y,Y,A  
32,1ZZI02ZU,False,91.58,"Lerner, Sorin                      ",Y,Y,A  
33,20P5QCCX,False,87.83,"Alvarado, Christine J.             ",Y,Y,A  
35,23RJJJAB,False,81.25,"Alvarado, Christine J.             ",Y,Y,B  
36,263ZOSV1,False,85.33,"Alvarado, Christine J.             ",Y,Y,A- 
37,2806MK4M,False,88.92,"Alvarado, Christine J.             ",Y,Y,A  
38,2823FJJI,False,95.42,"Lerner, Sorin                      ",Y,Y,A+ 
40,2FF6CRPY,False,81.67,"Lerner, Sorin                      ",Y,Y,A  
41,2FNJPDH5,False,87.83,"Alvarado, Christine J.             ",Y,Y,A  
42,2IDE1JDP,False,94.92,"Alvarado, Christine J.             ",Y,Y,A  
43,2LIGIRQQ,False,82.25,"Alvarado, Christine J.             ",Y,Y,A- 
44,2LX4PMA3,False,62.33,"Alvarado, Christine J.             ",Y,Y,B- 
46,2TJC8Z9P,False,81.0,"Alvarado, Christine J.             ",Y,Y,A- 
47,2VZHHT7Z,False,93.08,"Lerner, Sorin                      ",Y,Y,A  
49,36GB5HPE,False,48.83,"Lerner, Sorin                      ",Y,Y,D  
50,37RBMODO,False,90.33,"Alvarado, Christine J.             ",Y,Y,A  
51,38UH8DHW,False,97.5,"Alvarado, Christine J.             ",Y,Y,A+ 
52,3APO64LS,False,92.67,"Lerner, Sorin                      ",Y,Y,A  
53,3C8SI5NY,False,93.08,"Alvarado, Christine J.             ",Y,Y,A  
54,3DO59N6N,False,98.33,"Alvarado, Christine J.             ",Y,Y,A+ 
55,3ENSTSL2,False,74.08,"Lerner, Sorin                      ",Y,Y,B+ 
57,3NSQWXDF,False,79.17,"Lerner, Sorin                      ",Y,Y,A- 
58,3S0SZ5C4,False,81.58,"Lerner, Sorin                      ",Y,Y,C  
59,3X17JGAS,False,95.83,"Lerner, Sorin                      ",Y,Y,A  
60,3XL3NANW,False,98.25,"Alvarado, Christine J.             ",Y,Y,A+ 
62,3Y9DUGIO,False,87.08,"Lerner, Sorin                      ",Y,Y,A  
63,3YTH4DOX,False,98.75,"Lerner, Sorin                      ",Y,Y,A  
