,DeID,Transfer Status,Overall.weighted.course.percentage..out.of.100.or.between.0.and.1..above.1.OK.if.E.C..,Primary Instructor (3rd Week),Enrollment Flag (3rd Week),Enrollment Flag (End of Term),Grade (End of Term)
0,01USSUI3,False,95.17,"Lerner, Sorin                      ",Y,Y,A  
1,067XGZ0E,False,97.02,"Alvarado, Christine J.             ",Y,Y,A  
2,08Q3J2IX,False,96.46000000000001,"Alvarado, Christine J.             ",Y,Y,A  
3,09OZWKK6,False,88.58,"Alvarado, Christine J.             ",Y,Y,B+ 
4,0AQ81ICW,False,82.8,"Lerner, Sorin                      ",Y,Y,P  
5,0B5U51EM,False,86.7,"Alvarado, Christine J.             ",Y,Y,B  
6,0CSSQ80E,False,44.36,"Lerner, Sorin                      ",Y,Y,F  
7,0DI1ET58,False,92.42,"Lerner, Sorin                      ",Y,Y,A- 
8,0EV6RTFG,False,85.91,"Lerner, Sorin                      ",Y,Y,B  
9,0FP83YDC,False,89.44,"Lerner, Sorin                      ",Y,Y,B+ 
10,0J9V0GSD,False,95.77,"Alvarado, Christine J.             ",Y,Y,A  
11,0JFGV9J3,False,86.8,"Lerner, Sorin                      ",Y,Y,B  
12,0LSZZHS7,False,84.1,"Lerner, Sorin                      ",Y,Y,B  
13,0O15384D,False,94.28,"Lerner, Sorin                      ",Y,Y,A  
14,0RJR3UB2,False,92.56,"Alvarado, Christine J.             ",Y,Y,P  
15,0X91IN7M,False,94.47,"Alvarado, Christine J.             ",Y,Y,A  
16,0YNOBIVB,False,92.39,"Alvarado, Christine J.             ",Y,Y,A  
17,0YNUACNX,False,77.57,"Lerner, Sorin                      ",Y,Y,P  
19,112Y19QQ,False,97.84,"Alvarado, Christine J.             ",Y,Y,A  
20,12QC2AZI,False,91.63,"Alvarado, Christine J.             ",Y,Y,A- 
21,1AVMXYPB,False,33.11,"Lerner, Sorin                      ",Y,Y,NP 
22,1DSTM3NG,False,94.89,"Alvarado, Christine J.             ",Y,Y,A  
24,1GIFQR6E,False,88.06,"Lerner, Sorin                      ",Y,Y,B+ 
25,1KUMC6EK,False,96.12,"Alvarado, Christine J.             ",Y,Y,A  
26,1M23DVS0,False,81.53,"Alvarado, Christine J.             ",Y,Y,B- 
27,1MLB8DCO,False,63.3,"Alvarado, Christine J.             ",Y,Y,F  
28,1NP4ECVC,False,93.75,"Alvarado, Christine J.             ",Y,Y,A  
29,1NTALV04,False,95.96000000000001,"Lerner, Sorin                      ",Y,Y,A  
30,1RHWG5OW,False,90.12,"Lerner, Sorin                      ",Y,Y,A- 
31,1VKDQJSO,False,96.78,"Lerner, Sorin                      ",Y,Y,A  
32,1ZZI02ZU,False,95.6,"Lerner, Sorin                      ",Y,Y,A  
33,20P5QCCX,False,93.04,"Alvarado, Christine J.             ",Y,Y,A  
35,23RJJJAB,False,85.11,"Alvarado, Christine J.             ",Y,Y,B  
36,263ZOSV1,False,92.86,"Alvarado, Christine J.             ",Y,Y,A- 
37,2806MK4M,False,93.39,"Alvarado, Christine J.             ",Y,Y,A  
38,2823FJJI,False,98.78,"Lerner, Sorin                      ",Y,Y,A+ 
40,2FF6CRPY,False,93.3,"Lerner, Sorin                      ",Y,Y,A  
41,2FNJPDH5,False,94.69,"Alvarado, Christine J.             ",Y,Y,A  
42,2IDE1JDP,False,97.64,"Alvarado, Christine J.             ",Y,Y,A  
43,2LIGIRQQ,False,91.8,"Alvarado, Christine J.             ",Y,Y,A- 
44,2LX4PMA3,False,81.54,"Alvarado, Christine J.             ",Y,Y,B- 
46,2TJC8Z9P,False,91.42,"Alvarado, Christine J.             ",Y,Y,A- 
47,2VZHHT7Z,False,96.54,"Lerner, Sorin                      ",Y,Y,A  
49,36GB5HPE,False,69.47,"Lerner, Sorin                      ",Y,Y,D  
50,37RBMODO,False,96.11,"Alvarado, Christine J.             ",Y,Y,A  
51,38UH8DHW,False,98.79,"Alvarado, Christine J.             ",Y,Y,A+ 
52,3APO64LS,False,95.54,"Lerner, Sorin                      ",Y,Y,A  
53,3C8SI5NY,False,97.37,"Alvarado, Christine J.             ",Y,Y,A  
54,3DO59N6N,False,98.72,"Alvarado, Christine J.             ",Y,Y,A+ 
55,3ENSTSL2,False,87.5,"Lerner, Sorin                      ",Y,Y,B+ 
57,3NSQWXDF,False,91.63,"Lerner, Sorin                      ",Y,Y,A- 
58,3S0SZ5C4,False,76.36,"Lerner, Sorin                      ",Y,Y,C  
59,3X17JGAS,False,94.46,"Lerner, Sorin                      ",Y,Y,A  
60,3XL3NANW,False,98.81,"Alvarado, Christine J.             ",Y,Y,A+ 
62,3Y9DUGIO,False,95.49,"Lerner, Sorin                      ",Y,Y,A  
63,3YTH4DOX,False,97.89,"Lerner, Sorin                      ",Y,Y,A  
64,41Q9NZH9,False,76.88000000000001,"Lerner, Sorin                      ",Y,Y,P  
65,43GS4AW7,False,95.59,"Alvarado, Christine J.             ",Y,Y,A  
66,4BWWZI8M,False,92.34,"Alvarado, Christine J.             ",Y,Y,A- 
67,4G0PPO88,False,95.1,"Alvarado, Christine J.             ",Y,Y,A  
68,4IXQCIBM,False,98.1,"Lerner, Sorin                      ",Y,Y,A+ 
69,4JNI3RFL,False,99.38,"Alvarado, Christine J.             ",Y,Y,A+ 
70,4L5SCOMJ,False,79.35,"Lerner, Sorin                      ",Y,Y,C+ 
71,4TY7IQMU,False,97.8,"Lerner, Sorin                      ",Y,Y,A  
72,4VRCTUXD,False,98.19,"Lerner, Sorin                      ",Y,Y,A+ 
73,4WATCJ9A,False,97.74000000000001,"Alvarado, Christine J.             ",Y,Y,A+ 
74,58FGC341,False,74.48,"Lerner, Sorin                      ",Y,Y,C  
75,5BBIGKXW,False,97.98,"Alvarado, Christine J.             ",Y,Y,A+ 
76,5HB9ZW2S,False,96.65,"Alvarado, Christine J.             ",Y,Y,A  
78,5IVMMVD6,False,92.78999999999999,"Lerner, Sorin                      ",Y,Y,A- 
79,5LQH4ZED,False,97.54,"Lerner, Sorin                      ",Y,Y,A  
80,5OKID1KX,False,90.95,"Lerner, Sorin                      ",Y,Y,A- 
81,5PEXDAJQ,False,98.16,"Alvarado, Christine J.             ",Y,Y,A+ 
82,5UAIU1T4,False,90.0,"Alvarado, Christine J.             ",Y,Y,A- 
83,5VA7IB2O,False,99.33999999999999,"Alvarado, Christine J.             ",Y,Y,A+ 
84,5VQOMWVO,False,86.6,"Alvarado, Christine J.             ",Y,Y,B  
85,5XCURLDS,False,90.38000000000001,"Alvarado, Christine J.             ",Y,Y,A- 
86,5Z87GMPE,False,97.27,"Alvarado, Christine J.             ",Y,Y,A  
87,63BU2T1Z,False,95.82000000000001,"Alvarado, Christine J.             ",Y,Y,A  
88,63VGE34R,False,97.52,"Alvarado, Christine J.             ",Y,Y,A  
89,64SF3V4T,False,93.91000000000001,"Lerner, Sorin                      ",Y,Y,A  
90,65JLYPR7,False,84.81,"Alvarado, Christine J.             ",Y,Y,B  
91,668J389O,False,82.78999999999999,"Lerner, Sorin                      ",Y,Y,C- 
92,69U9087F,False,80.88,"Alvarado, Christine J.             ",Y,Y,B- 
93,6AN2NYEW,False,97.72,"Lerner, Sorin                      ",Y,Y,A  
94,6J7JKHYR,False,96.83,"Lerner, Sorin                      ",Y,Y,A  
95,6LZAC2JA,False,93.73,"Lerner, Sorin                      ",Y,Y,A  
96,6POBGC6F,False,91.8,"Alvarado, Christine J.             ",Y,Y,A- 
97,6QDAE16C,False,96.81,"Alvarado, Christine J.             ",Y,Y,A  
99,6SCSR8QI,False,89.62,"Alvarado, Christine J.             ",Y,Y,B+ 
100,6VGU8STT,False,97.82,"Alvarado, Christine J.             ",Y,Y,A  
101,6YW3QBWU,False,92.85,"Lerner, Sorin                      ",Y,Y,A- 
102,7105EJ1T,False,97.8,"Lerner, Sorin                      ",Y,Y,A+ 
103,72GB717K,False,90.86,"Alvarado, Christine J.             ",Y,Y,A- 
104,73BD8V5W,False,48.27,"Lerner, Sorin                      ",Y,Y,NP 
106,78H841QG,False,90.5,"Lerner, Sorin                      ",Y,Y,A- 
107,7FAO13VF,False,95.88,"Alvarado, Christine J.             ",Y,Y,A  
108,7KIWIMK3,False,95.78,"Lerner, Sorin                      ",Y,Y,A  
109,7OCUS5CI,False,78.8,"Alvarado, Christine J.             ",Y,Y,B- 
110,7Q7MQ3N3,False,95.39,"Lerner, Sorin                      ",Y,Y,A  
111,7ROMJT0U,False,98.33,"Alvarado, Christine J.             ",Y,Y,A+ 
112,7TNYSJV0,False,92.0,"Lerner, Sorin                      ",Y,Y,A- 
114,7ZDR3PCO,False,90.56,"Alvarado, Christine J.             ",Y,Y,A- 
115,806STYZK,False,93.55,"Lerner, Sorin                      ",Y,Y,A  
116,8BPKB7M4,False,71.1,"Lerner, Sorin                      ",Y,Y,F  
