,DeID,Transfer Status,Overall.weighted.course.percentage..out.of.100.or.between.0.and.1..above.1.OK.if.E.C..,Primary Instructor (3rd Week),Enrollment Flag (3rd Week),Enrollment Flag (End of Term),Grade (End of Term)
18,10M1D3KC,True,78.86,"Lerner, Sorin                      ",Y,Y,C+ 
23,1FQJCTP0,True,59.78,"Lerner, Sorin                      ",Y,Y,F  
34,22Y2XO2K,True,88.08,"Lerner, Sorin                      ",Y,Y,B+ 
39,28YW6SPD,True,85.16,"Alvarado, Christine J.             ",Y,Y,B  
45,2PPW6W7M,True,73.47,"Alvarado, Christine J.             ",Y,Y,C  
48,2XSX8H2C,True,80.7,"Alvarado, Christine J.             ",Y,Y,B- 
56,3MK271VQ,True,89.81,"Lerner, Sorin                      ",Y,Y,B+ 
61,3XNNNAKH,True,86.97,"Alvarado, Christine J.             ",Y,Y,B  
77,5HD1XVWY,True,89.27000000000001,"Lerner, Sorin                      ",Y,Y,B+ 
98,6S1NISDF,True,48.84,"Lerner, Sorin                      ",Y,Y,NP 
105,76WD81VV,True,77.48,"Alvarado, Christine J.             ",Y,Y,C+ 
113,7Y39WVGT,True,83.16,"Alvarado, Christine J.             ",Y,Y,B  
117,8FXQ1IG0,True,84.95,"Alvarado, Christine J.             ",Y,Y,B  
119,8NNV9QRJ,True,86.53,"Lerner, Sorin                      ",Y,Y,B  
123,9HKHCNMK,True,68.78999999999999,"Lerner, Sorin                      ",Y,Y,F  
128,9MKBVKUW,True,86.98,"Alvarado, Christine J.             ",Y,Y,B  
148,B320EDG9,True,90.39,"Alvarado, Christine J.             ",Y,Y,A- 
155,BF0HATQ8,True,87.66000000000001,"Lerner, Sorin                      ",Y,Y,B+ 
164,C6S8SY5I,True,91.1,"Alvarado, Christine J.             ",Y,Y,A- 
165,C9HVW1HR,True,85.98,"Lerner, Sorin                      ",Y,Y,B  
172,CM5CES4X,True,81.5,"Alvarado, Christine J.             ",Y,Y,B- 
186,DFCAKKY6,True,72.85000000000001,"Alvarado, Christine J.             ",Y,Y,P  
190,DSM6Y2H6,True,79.89,"Alvarado, Christine J.             ",Y,Y,C+ 
196,E7HR0BU4,True,97.63,"Lerner, Sorin                      ",Y,Y,A  
205,EIXSSJ24,True,86.88,"Alvarado, Christine J.             ",Y,Y,B  
222,G5YXDDPR,True,90.94,"Alvarado, Christine J.             ",Y,Y,A- 
223,G7VYIID9,True,60.089999999999996,"Alvarado, Christine J.             ",Y,Y,F  
237,H9VYZRJR,True,66.11,"Alvarado, Christine J.             ",Y,Y,D  
247,IF84I5AR,True,92.96,"Alvarado, Christine J.             ",Y,Y,A  
250,IJV29Z4Q,True,75.38,"Alvarado, Christine J.             ",Y,Y,C  
262,J7DG31DL,True,55.28999999999999,"Alvarado, Christine J.             ",Y,Y,F  
277,K3PEQA61,True,85.56,"Alvarado, Christine J.             ",Y,Y,B  
287,KPOLFB9K,True,93.67,"Alvarado, Christine J.             ",Y,Y,A  
309,M6G521Y5,True,58.63,"Lerner, Sorin                      ",Y,Y,NP 
325,NMS0G8IP,True,91.93,"Lerner, Sorin                      ",Y,Y,A- 
329,NS4TZRLP,True,96.47,"Lerner, Sorin                      ",Y,Y,A  
330,NS89SPF7,True,82.64,"Alvarado, Christine J.             ",Y,Y,P  
332,NY6U0FHN,True,65.53,"Alvarado, Christine J.             ",Y,Y,F  
342,OJ2TZ2HM,True,82.28999999999999,"Alvarado, Christine J.             ",Y,Y,B- 
355,PJLP9KGP,True,96.13000000000001,"Alvarado, Christine J.             ",Y,Y,A  
359,PNE2D6QR,True,64.2,"Lerner, Sorin                      ",Y,Y,F  
362,PYLTLSHD,True,41.089999999999996,"Lerner, Sorin                      ",Y,Y,F  
364,Q1QFETHH,True,81.01,"Alvarado, Christine J.             ",Y,Y,B- 
380,QVONSV9I,True,89.74,"Alvarado, Christine J.             ",Y,Y,A- 
382,QXYL0U9G,True,90.86999999999999,"Lerner, Sorin                      ",Y,Y,A- 
383,QYQ7I3MQ,True,69.33,"Lerner, Sorin                      ",Y,Y,F  
384,QZV31WC2,True,96.19,"Lerner, Sorin                      ",Y,Y,A  
400,RVR4TAC2,True,94.67999999999999,"Lerner, Sorin                      ",Y,Y,A  
417,T1E9HPBG,True,93.47,"Alvarado, Christine J.             ",Y,Y,A  
420,T47JFAGG,True,92.72,"Lerner, Sorin                      ",Y,Y,A- 
424,TB82FY44,True,89.74,"Lerner, Sorin                      ",Y,Y,B+ 
435,TYK2UPMN,True,99.77000000000001,"Lerner, Sorin                      ",Y,Y,A+ 
444,UI902D7R,True,37.14,"Lerner, Sorin                      ",Y,Y,F  
445,UIU2M2YN,True,81.69,"Lerner, Sorin                      ",Y,Y,B- 
455,V1XULD41,True,80.01,"Lerner, Sorin                      ",Y,Y,B- 
456,VCHEELZD,True,90.89,"Alvarado, Christine J.             ",Y,Y,A- 
465,W4F7GC40,True,59.78,"Lerner, Sorin                      ",Y,Y,F  
488,YA66VY60,True,75.32,"Alvarado, Christine J.             ",Y,Y,C  
489,YH17VRV6,True,79.66,"Alvarado, Christine J.             ",Y,Y,C+ 
517,ZY7O88AS,True,81.41000000000001,"Lerner, Sorin                      ",Y,Y,B- 
