,DeID,Transfer Status,HW1,HW2,HW3,HW4,HW5,HW6,HW7,HW8,HW9,Primary Instructor (3rd Week),Enrollment Flag (3rd Week),Enrollment Flag (End of Term),Grade (End of Term)
1,0CJNKJ3G,True,80.0,56.466666700000005,66.83333329999999,0.0,29.053333300000002,47.89,76.24,80.0,43.205,"Gillespie, Gary N                  ",Y,Y,U  
2,0IPF8NR0,True,100.0,82.9333333,68.0666667,67.5,34.6133333,86.97,78.08800000000001,89.7133333,70.035,"Gillespie, Gary N                  ",Y,Y,B+ 
4,0UFJO4V8,True,84.0,80.0,93.8666667,87.5,24.6666667,70.91,86.64,72.0466667,81.73,"Gillespie, Gary N                  ",Y,Y,B  
7,1516FKR6,True,100.0,88.0333333,76.66666670000001,93.75,42.9466667,45.87,97.6,100.0,100.0,"Gillespie, Gary N                  ",Y,Y,A  
15,2YN4DT5W,True,100.0,88.0333333,67.7333333,80.0,96.0533333,56.879999999999995,96.24000000000001,51.5266667,97.19,"Gillespie, Gary N                  ",Y,Y,A- 
18,3B1I7KZ8,True,96.0,72.93333329999999,77.3666667,90.0,32.6133333,79.57,82.344,82.5266667,79.495,"Gillespie, Gary N                  ",Y,Y,C+ 
20,3QJJOU1J,True,100.0,45.5,72.1,70.0,31.6666667,71.61,52.10399999999999,28.24,63.5,"Gillespie, Gary N                  ",Y,Y,C  
21,3XGFUSMI,True,76.0,80.2,72.1,45.0,55.173333299999996,60.92999999999999,62.407999999999994,78.2666667,97.055,"Gillespie, Gary N                  ",Y,Y,B- 
22,3Z8EXFXJ,True,100.0,69.5,85.1,100.0,91.33333329999999,95.1,93.59200000000001,94.86,62.785000000000004,"Gillespie, Gary N                  ",Y,Y,A  
27,50RN1MFD,True,0.0,62.3666667,40.3666667,22.5,35.72,21.83,62.368,39.83333329999999,94.62,"Gillespie, Gary N                  ",Y,Y,B- 
32,57T5TAHN,True,100.0,96.0666667,86.66666670000001,95.0,89.33333329999999,86.67,96.24000000000001,80.19333329999999,94.71000000000001,"Gillespie, Gary N                  ",Y,Y,A  
34,5EPOTQMD,True,100.0,82.16666670000001,87.5333333,78.75,36.0,31.77,89.80799999999999,62.8066667,70.035,"Gillespie, Gary N                  ",Y,Y,B  
41,6Q3XGBID,True,80.0,72.53333330000001,77.9,88.75,89.3866667,78.78,97.6,97.3333333,100.0,"Gillespie, Gary N                  ",Y,Y,A- 
45,6V68NG3I,True,50.0,71.7666667,85.9666667,40.0,28.6666667,58.86,65.568,70.0733333,57.64,"Gillespie, Gary N                  ",Y,Y,B- 
52,7SS9SWZ2,True,80.0,0.0,67.0333333,91.25,77.44,78.89,88.368,77.33333329999999,100.0,"Gillespie, Gary N                  ",Y,Y,B  
56,8QFSI6X7,True,100.0,65.3,60.16666670000001,98.75,23.3333333,61.95,90.64,59.9266667,55.35,"Gillespie, Gary N                  ",Y,Y,D  
61,9IV34PWW,True,100.0,73.93333329999999,81.9333333,72.5,90.72,73.02,94.64,55.59333329999999,62.050000000000004,"Gillespie, Gary N                  ",Y,Y,B+ 
64,9Q1TZHHX,True,80.0,79.8,67.5333333,92.5,71.41333329999999,58.5,97.32,99.21333329999999,100.0,"Gillespie, Gary N                  ",Y,Y,A  
75,B2CHHU5N,True,100.0,90.0,89.3,95.0,63.66666670000001,89.35,95.304,93.5266667,93.62,"Gillespie, Gary N                  ",Y,Y,A- 
80,C5U4S8HT,True,0.0,39.2,36.4,35.0,70.72,31.840000000000003,37.912,60.64000000000001,68.03,"Gillespie, Gary N                  ",Y,Y,F  
82,CJW5LN83,True,100.0,49.033333299999995,10.3666667,0.0,0.0,8.59,0.0,0.0,0.0,"Gillespie, Gary N                  ",Y,Y,F  
87,D0NCXALW,True,100.0,98.0333333,97.53333330000001,100.0,100.0,100.0,100.0,100.0,100.0,"Gillespie, Gary N                  ",Y,Y,A+ 
92,DOBOXDVS,True,80.0,68.83333329999999,73.86666670000001,20.0,72.0533333,34.23,39.736,66.07333329999999,92.745,"Gillespie, Gary N                  ",Y,Y,C  
94,DVE7VM71,True,40.0,60.0,90.0,50.0,0.0,77.06,93.448,87.7133333,0.0,"Gillespie, Gary N                  ",Y,Y,F  
96,E3N3U3C4,True,100.0,67.83333329999999,89.3,85.0,77.44,74.42,98.11999999999999,80.2866667,62.934999999999995,"Gillespie, Gary N                  ",Y,Y,A- 
98,EAXYK9WX,True,100.0,67.83333329999999,86.3,77.5,79.4133333,51.7,87.71200000000002,85.86,49.364999999999995,"Gillespie, Gary N                  ",Y,Y,D  
106,FMW0T2M1,True,80.0,50.6,75.1,20.0,44.7733333,80.67,87.848,72.2866667,34.625,"Gillespie, Gary N                  ",Y,Y,C  
109,G4QQYEHW,True,100.0,58.0333333,70.7,60.0,63.533333299999995,80.9,82.76,86.66666670000001,92.125,"Gillespie, Gary N                  ",Y,Y,B- 
110,G7TZVX0C,True,100.0,52.533333299999995,81.7666667,72.5,52.6666667,67.61,30.8,92.38,99.245,"Gillespie, Gary N                  ",Y,Y,C+ 
111,GDEKR6RS,True,84.0,74.5,82.6333333,100.0,88.6933333,89.22,94.12,81.5,99.62,"Gillespie, Gary N                  ",Y,Y,A  
116,HRYK35NC,True,20.0,30.0,20.6,83.75,24.0,26.3,77.544,39.713333299999995,39.69,"Gillespie, Gary N                  ",Y,Y,D  
118,HWQW8PXK,True,100.0,88.2333333,97.53333330000001,77.5,58.0533333,78.0,87.408,85.4733333,66.675,"Gillespie, Gary N                  ",Y,Y,B  
119,HWRGI29V,True,100.0,91.3666667,76.66666670000001,90.0,86.02666669999999,94.55,93.59200000000001,100.0,100.0,"Gillespie, Gary N                  ",Y,Y,A  
120,I4P6RFWE,True,100.0,75.86666670000001,79.4666667,97.5,86.66666670000001,60.77,59.06399999999999,61.4733333,47.935,"Gillespie, Gary N                  ",Y,Y,S  
